TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
4731,エディオン 千音寺アズパーク店,OPEN,,愛知県,454-0972,愛知県,名古屋市,中川区新家1丁目2421,,,
4681,ビックカメラ 名古屋駅西店,OPEN,,愛知県,453-0015,愛知県,名古屋市,中村区椿町6-9,,,
4561,エディオン イオンモール名古屋茶屋店,OPEN,,愛知県,455-0858,愛知県,名古屋市,港区西茶屋2丁目11,,,
4551,エディオン 小田井モゾワンダーシティ店,OPEN,,愛知県,452-0817,愛知県,名古屋市,西区二方町47番地,,,
3141,エディオン メッツ大曽根店,OPEN,,愛知県,461-0040,愛知県,名古屋市,東区矢田二丁目1番95号,,,
1871,楽天モバイル 鶴舞イオンタウン千種店,OPEN,,愛知県,464-0858,愛知県,名古屋市,千種区千種2丁目16番13号,,,
621,ジョーシン 大高イオンモール店,OPEN,,愛知県,459-8016,愛知県,名古屋市,緑区南大高2-450,,,
171,楽天モバイル 名古屋栄森の地下街店,OPEN,,愛知県,460-0008,愛知県,名古屋市,中区栄3-5-12号,,,
7091,エディオン イオンタウン弥富店,OPEN,,愛知県,498-0014,愛知県,弥富市,五明町蒲原1371-4,,,
8274,楽天モバイル イオンモール今治新都市店,OPEN,,愛媛県,794-0068,愛媛県,今治市,にぎわい広場1-1,,,
3031,楽天モバイル 松山大街道店,OPEN,,愛媛県,790-0004,愛媛県,松山市,大街道1-6-4,,,
1211,エディオン 松山本店,OPEN,,愛媛県,790-0065,愛媛県,松山市,宮西一丁目3-1,,,
4911,エディオン イオンモール新居浜店,OPEN,,愛媛県,792-0007,愛媛県,新居浜市,前田町8-8,,,
6031,楽天モバイル イオンモールつくば店,OPEN,,茨城県,305-0071,茨城県,つくば市,稲岡66-1,,,
8214,楽天モバイル ファッションクルーズひたちなか店,OPEN,,茨城県,312-0005,茨城県,ひたちなか市,新光町35,,,
7925,楽天モバイル イオンモール下妻店,OPEN,,茨城県,304-0033,茨城県,下妻市,堀篭972-1,,,
7933,楽天モバイル イオンタウン守谷店,OPEN,,茨城県,302-0110,茨城県,守谷市,百合ヶ丘3-249-1,,,
8335,楽天モバイル イオンモール水戸内原店,OPEN,,茨城県,319-0317,茨城県,水戸市,内原2丁目1番地,,,
6621,ビックカメラ 水戸駅店,OPEN,,茨城県,310-0015,茨城県,水戸市,宮町1-7-31,,,
6841,楽天モバイル イオンモール土浦店,OPEN,,茨城県,300-0811,茨城県,土浦市,上高津367,,,
5451,エディオン 下中野店,OPEN,,岡山県,700-0973,岡山県,岡山市,北区下中野五ノ坪441,,,
4351,ビックカメラ 岡山駅前店,OPEN,,岡山県,700-0023,岡山県,岡山市,北区駅前町1-1-1,,,
4241,エディオン 東川原店,OPEN,,岡山県,703-8255,岡山県,岡山市,中区東川原215-1,,,
2551,楽天モバイル イオンモール岡山店,OPEN,,岡山県,700-0907,岡山県,岡山市,北区下石井1丁目2-1,,,
7820,楽天モバイル イオンモール倉敷店,OPEN,,岡山県,710-8560,岡山県,倉敷市,水江1,,,
781,エディオン 倉敷本店,OPEN,,岡山県,710-0834,岡山県,倉敷市,笹沖1209-1,,,
8323,楽天モバイル イオンモール津山店,OPEN,,岡山県,708-0842,岡山県,津山市,河辺1000-1,,,
3581,エディオン 津山本店,OPEN,,岡山県,708-0841,岡山県,津山市,川崎147,,,
3191,エディオン 具志川メインシティ店,OPEN,,沖縄県,904-2244,沖縄県,うるま市,江洲450-1,,,
8253,エディオン 浦添パルコシティ店,OPEN,,沖縄県,901-2123,沖縄県,浦添市,西洲3-1-1,,,
6681,楽天モバイル 沖縄パルコシティ店,OPEN,,沖縄県,901-2123,沖縄県,浦添市,西洲3-1-1,,,
4041,エディオン 経塚シティ店,OPEN,,沖縄県,901-2111,沖縄県,浦添市,経塚652,,,
