TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
1361,ケーズデンキ 月寒店,OPEN,2016/5/26,北海道,062-0055,北海道,札幌市,豊平区月寒東5条13-3-1,CES,ライクスタッフィング,ケーズホールディングス
1381,ケーズデンキ 長野本店,OPEN,2016/6/16,長野県,380-0928,長野県,長野市,若里3-22-1,CES,ヒト・コミュニケーションズ,ケーズホールディングス
1391,ケーズデンキ インターパーク宇都宮店,OPEN,2016/6/23,栃木県,321-0118,栃木県,宇都宮市,インターパーク5-1-6,CES,ヒト・コミュニケーションズ,ケーズホールディングス
1401,ケーズデンキ ピオニウォーク東松山店,OPEN,2016/6/23,埼玉県,355-0048,埼玉県,東松山市,あずま町4-5,CES,パーソルマーケティング,ケーズホールディングス
1441,楽天モバイル 立川フロム中武店,OPEN,2016/6/29,東京都,190-0012,東京都,立川市,曙町2-11-2,PS,ITX,ITX株式会社
1461,エディオン 那覇メインプレイス店,OPEN,2016/6/28,沖縄県,900-0006,沖縄県,那覇市,おもろまち4-4-9,CES,パーソルマーケティング,株式会社エディオン
1471,100満ボルト 金沢本店,OPEN,2016/6/23,石川県,921-8804,石川県,野々市,市野代2-11,CES,ヒト・コミュニケーションズ,株式会社エディオン
1531,ケーズデンキ 越谷レイクタウン店,OPEN,2016/7/7,埼玉県,343-0828,埼玉県,越谷市,レイクタウン9丁目2番2,CES,パーソルマーケティング,ケーズホールディングス
1541,ケーズデンキ 小田原店,OPEN,2016/7/14,神奈川県,250-0003,神奈川県,小田原市,東町5丁目13番22号,CES,ウィルオブ・ワーク,ケーズホールディングス
1561,ジョーシン 姫路大津イオンモール店,OPEN,2016/7/15,兵庫県,671-1146,兵庫県,姫路市,大津区大津町2-5,CES,ウィルオブ・ワーク,上新電機株式会社
1571,ジョーシン 明和イオンモール店,OPEN,2016/7/21,三重県,515-0348,三重県,多気郡,明和町中村1223,CES,ウィルオブ・ワーク,上新電機株式会社
1581,ジョーシン 福井本店,OPEN,2016/7/28,福井県,910-0837,福井県,福井市,高柳1-201,CES,ヒト・コミュニケーションズ,上新電機株式会社
1601,楽天モバイル ゆめタウン広島店,OPEN,2016/8/4,広島県,734-0007,広島県,広島市,南区皆実町2丁目8-17,PS,T-GAIA,T-GAIA
1611,ジョーシン 亀貝店,OPEN,2016/8/4,新潟県,950-2033,新潟県,新潟市,西区亀貝1340,CES,ライクスタッフィング,上新電機株式会社
1641,ケーズデンキ 名古屋みなと店,OPEN,2016/8/4,愛知県,455-0005,愛知県,名古屋市,港区新川町3丁目1番,CES,リクルートスタッフィング,ケーズホールディングス
1651,ジョーシン アリオ川口店,OPEN,2016/8/18,埼玉県,332-0033,埼玉県,川口市,並木元町1-79,CES,ヒト・コミュニケーションズ,上新電機株式会社
1671,楽天モバイル 新静岡駅前店,OPEN,2016/8/19,静岡県,420-0858,静岡県,静岡市,葵区伝馬町1-10,PS,T-GAIA,T-GAIA
1681,ジョーシン 津城山イオンタウン店,OPEN,2016/8/25,三重県,514-1112,三重県,津市,久居小野辺町1130-7,CES,ウィルオブ・ワーク,上新電機株式会社
1691,楽天モバイル 柏高島屋ステーションモール店,OPEN,2016/8/25,千葉県,277-0842,千葉県,柏市,末広町1-1,PS,ITX,ITX株式会社
1761,ケーズデンキ ガーデンシティ垂水店,OPEN,2016/9/7,兵庫県,655-0052,兵庫県,神戸市,垂水区舞多聞東3丁目1番1号,CES,パーソルマーケティング,ケーズホールディングス
1771,ケーズデンキ 浜松市野店,OPEN,2016/9/7,静岡県,435-0052,静岡県,浜松市,東区天王町1981-1,CES,ウィルオブ・ワーク,ケーズホールディングス
1781,ケーズデンキ 甲府店,OPEN,2016/9/14,山梨県,400-0043,山梨県,甲府市,国母5丁目8番18号,CES,ウィルオブ・ワーク,ケーズホールディングス
1811,ケーズデンキ 鹿児島本店,OPEN,2016/10/20,鹿児島県,891-0115,鹿児島県,鹿児島市,東開町4番地12,CES,パーソルマーケティング,ケーズホールディングス
1851,楽天モバイル 姫路グランフェスタ店,OPEN,2016/12/15,兵庫県,670-0927,兵庫県,姫路市,駅前町188-1,PS,T-GAIA,T-GAIA
1861,ケーズデンキ 高松本店,OPEN,2016/12/15,香川県,761-8076,香川県,高松市,多肥上町1210,CES,ウィルオブ・ワーク,ケーズホールディングス
1871,楽天モバイル 鶴舞イオンタウン千種店,OPEN,2016/12/23,愛知県,464-0858,愛知県,名古屋市,千種区千種2丁目16番13号,PS,エディオン・コミュニケーションズ,エディオン・コミュニケーションズ
1921,ビックカメラ 札幌店,OPEN,2017/1/26,北海道,060-0005,北海道,札幌市,中央区北五条西2-1,CES,ヒト・コミュニケーションズ,株式会社ビックカメラ
1931,楽天モバイル 秋田イオンモール秋田店,OPEN,2017/2/10,秋田県,010-1413,秋田県,秋田市,御所野地蔵田1-1-1,PS,T-GAIA,T-GAIA
1951,楽天モバイル 調布駅前店,OPEN,2017/2/2,東京都,182-0024,東京都,調布市,布田4丁目17番10,PS,プラザクリエイト,株式会社プラザクリエイト
1961,楽天モバイル センター南サウスウッド,OPEN,2017/2/15,神奈川県,224-0032,神奈川県,横浜市,都筑区茅ケ崎中央6-1,PS,CNX,コネクシオ
1971,楽天モバイル モレラ岐阜店,OPEN,2017/2/17,岐阜県,501-0406,岐阜県,本巣市,三橋1100,PS,T-GAIA,T-GAIA
2011,楽天モバイル 大泉学園店,OPEN,2017/3/4,東京都,178-0063,東京都,練馬区,東大泉1丁目28-1,PS,トシコーポレーション,トシコーポレーション
2021,楽天モバイル ららぽーと湘南平塚店,OPEN,2017/3/10,神奈川県,254-0031,神奈川県,平塚市,天沼10-1,PS,T-GAIA,T-GAIA
2031,楽天モバイル ららぽーとTOKYO-BAY店,OPEN,2017/3/16,千葉県,273-0012,千葉県,船橋市,浜町2丁目1-1,PS,ITX,ITX株式会社
2041,楽天モバイル ららぽーと海老名店,OPEN,2017/3/17,神奈川県,243-0436,神奈川県,海老名市,扇町13-1,PS,アルファグループ,アルファグループ
2051,楽天モバイル イオンモール新小松店,OPEN,2017/3/22,石川県,923-0862,石川県,小松市,清六町315番地,PS,T-GAIA,T-GAIA
2071,楽天モバイル 吉祥寺サンロード店,OPEN,2017/3/24,東京都,180-0004,東京都,武蔵野市,吉祥寺本町1-14-1,PS,D-POPS,D-POPS
2091,楽天モバイル ジョーシンギア 各務原イオンモール店,OPEN,2017/3/30,岐阜県,504-0943,岐阜県,各務原市,那加萱場町3-8,PS,上新電機,上新電機株式会社
2111,ケーズデンキ 山形北本店,OPEN,2017/3/16,山形県,990-0886,山形県,山形市,嶋南4丁目3番3号,CES,パーソルマーケティング,ケーズホールディングス
2121,ケーズデンキ 会津若松本店,OPEN,2017/3/23,福島県,965-0057,福島県,会津若松市,町北町藤室道下84-1,CES,パーソルマーケティング,ケーズホールディングス
2131,楽天モバイル 錦糸町テルミナ店,OPEN,2017/3/30,東京都,130-0022,東京都,墨田区,江東橋3丁目14-5,PS,T-GAIA,T-GAIA
2141,ケーズデンキ 千葉ニュータウン店,OPEN,2017/4/13,千葉県,270-1334,千葉県,印西市,西の原3丁目2-1,CES,パーソルマーケティング,ケーズホールディングス
