Shop ID,カテゴリ,取り扱い開始日,店舗名,一次代理店名,来店予約の公開有無,来店予約トップURL,店舗一覧ページ_掲出タイミング,店舗一覧ページ_来店予約リンクボタン中の文言,取り扱い状況,店舗一覧ページ_注釈の文言
1181,CES,2021/4/30,ジョーシン 泉南イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=304&event_id=441,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1191,CES,2021/4/30,ジョーシン 富山本店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=303&event_id=440,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1201,CES,2099/1/1,エディオン イオンモール浜松志都呂店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=530&event_id=667,,,,
1211,CES,2021/4/30,エディオン 松山本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=529&event_id=666,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1241,CES,2021/4/30,ケーズデンキ 水戸本店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=636&event_id=773,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1251,CES,2021/4/30,ケーズデンキ つくば研究学園店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=635&event_id=772,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1261,CES,2021/4/30,ケーズデンキ 東京ベイサイド新浦安店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=634&event_id=771,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1331,CES,2021/4/30,ケーズデンキ 仙台北店,株式会社ケーズホールディングス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=633&event_id=770,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1341,CES,2021/4/30,ケーズデンキ 八戸本店,株式会社ケーズホールディングス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=632&event_id=769,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1351,CES,2021/4/30,ケーズデンキ 札幌麻生店,株式会社ケーズホールディングス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=631&event_id=768,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1361,CES,2021/4/30,ケーズデンキ 月寒店,株式会社ケーズホールディングス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=630&event_id=767,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1381,CES,2021/4/30,ケーズデンキ 長野本店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=629&event_id=766,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1391,CES,2021/4/30,ケーズデンキ インターパーク宇都宮店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=628&event_id=765,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1401,CES,2021/4/30,ケーズデンキ ピオニウォーク東松山店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=627&event_id=764,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1441,PS,2021/4/30,楽天モバイル 立川フロム中武店,ITX株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=237&event_id=367,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1461,CES,2021/4/30,エディオン 那覇メインプレイス店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=527&event_id=664,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1471,CES,2021/4/30,100満ボルト 金沢本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=528&event_id=665,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1531,CES,2021/4/30,ケーズデンキ 越谷レイクタウン店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=626&event_id=763,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1541,CES,2021/4/30,ケーズデンキ 小田原店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=625&event_id=762,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1561,CES,2021/4/30,ジョーシン 姫路大津イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=302&event_id=439,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1571,CES,2021/4/30,ジョーシン 明和イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=301&event_id=438,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1581,CES,2021/4/30,ジョーシン 福井本店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=300&event_id=437,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1591,PS,2021/4/30,楽天モバイル 池袋サンシャイン通り店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=236&event_id=365,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1601,PS,2021/4/30,楽天モバイル ゆめタウン広島店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=235&event_id=363,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1611,CES,2021/4/30,ジョーシン 亀貝店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=299&event_id=436,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1641,CES,2021/4/30,ケーズデンキ 名古屋みなと店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=624&event_id=761,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1651,CES,2021/4/30,ジョーシン アリオ川口店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=298&event_id=435,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1671,PS,2021/4/30,楽天モバイル 新静岡駅前店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=234&event_id=361,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1681,CES,2021/4/30,ジョーシン 津城山イオンタウン店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=297&event_id=434,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1691,PS,2021/4/30,楽天モバイル 柏高島屋ステーションモール店,ITX株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=233&event_id=359,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1761,CES,2021/4/30,ケーズデンキ ガーデンシティ垂水店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=622&event_id=759,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1771,CES,2021/4/30,ケーズデンキ 浜松市野店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=623&event_id=760,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1781,CES,2021/4/30,ケーズデンキ 甲府店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=621&event_id=758,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1811,CES,2021/4/30,ケーズデンキ 鹿児島本店,株式会社ケーズホールディングス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=620&event_id=757,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1851,PS,2021/4/30,楽天モバイル 姫路グランフェスタ店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=232&event_id=357,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1861,CES,2021/4/30,ケーズデンキ 高松本店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=619&event_id=756,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
1871,PS,2021/4/30,楽天モバイル 鶴舞イオンタウン千種店,株式会社エディオンコミュニケーションズ,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=231&event_id=355,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1921,CES,2021/4/30,ビックカメラ 札幌店,株式会社ビックカメラ,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=427&event_id=564,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1931,PS,2021/4/30,楽天モバイル イオンモール秋田店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=229&event_id=351,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1951,PS,2021/4/30,楽天モバイル 調布駅前店,株式会社プラザクリエイト,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=230&event_id=353,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1961,PS,2021/4/30,楽天モバイル センター南サウスウッド,コネクシオ株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=228&event_id=349,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
1971,PS,2021/4/30,楽天モバイル モレラ岐阜店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=227&event_id=347,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2011,PS,2021/4/30,楽天モバイル 大泉学園店,株式会社トシ・コーポレーション,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=225&event_id=343,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2021,PS,2021/4/30,楽天モバイル ららぽーと湘南平塚店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=224&event_id=341,2021/5/28,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2031,PS,2021/4/30,楽天モバイル ららぽーとTOKYO-BAY店,ITX株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=223&event_id=339,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2041,PS,2021/4/30,楽天モバイル ららぽーと海老名店,アルファグループ株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=222&event_id=337,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2051,PS,2021/4/30,楽天モバイル イオンモール新小松店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=220&event_id=333,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2071,PS,2021/4/30,楽天モバイル 吉祥寺サンロード店,株式会社ディ・ポップス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=219&event_id=331,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2091,PS,2021/4/30,楽天モバイル ジョーシンギア 各務原イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=217&event_id=327,2021/4/23,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2111,CES,2021/4/30,ケーズデンキ 山形北本店,株式会社ケーズホールディングス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=618&event_id=755,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2121,CES,2021/6/11,ケーズデンキ 会津若松本店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=617&event_id=754,2021/6/18,,,"2021年6月11日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
2131,PS,2021/4/30,楽天モバイル 錦糸町テルミナ店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=218&event_id=329,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2141,CES,2021/4/30,ケーズデンキ 千葉ニュータウン店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=616&event_id=753,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
2161,PS,2021/4/30,楽天モバイル 東京八重洲地下街店,ITX株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=216&event_id=325,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2171,PS,2021/4/30,楽天モバイル 梅田阪急三番街店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=213&event_id=319,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2181,PS,2021/4/30,楽天モバイル 千里中央イオンSENRITO店,株式会社ティーガイア,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=215&event_id=323,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2201,PS,2021/4/30,楽天モバイル イオンモール徳島店,コネクシオ株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=214&event_id=321,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2211,PS,2021/4/30,楽天モバイル グランツリー武蔵小杉店,アルファグループ株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=212&event_id=317,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2221,PS,2021/4/30,楽天モバイル 中野サンモール店,株式会社ディ・ポップス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=211&event_id=315,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2231,CES,2099/1/1,エディオン 蔦屋家電,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=526&event_id=663,,,,
2251,CES,2021/4/30,エディオン イオンモール長久手店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=525&event_id=662,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2261,CES,2021/4/30,エディオン イオンモール福津店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=520&event_id=657,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2271,CES,2021/4/30,エディオン 東広島本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=524&event_id=661,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2281,CES,2021/4/30,エディオン 福山本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=523&event_id=660,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2321,CES,2021/4/30,ケーズデンキ ふじみ野店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=615&event_id=752,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
2331,CES,2021/4/30,エディオン 宮崎本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=521&event_id=658,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2341,CES,2021/4/30,ジョーシン 外環八尾,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=296&event_id=433,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2351,CES,2021/4/30,エディオン 長崎本店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=522&event_id=659,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2401,PS,2021/4/30,楽天モバイル ミスターマックス湘南藤沢店,株式会社TDモバイル,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=209&event_id=311,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2411,CES,2021/4/30,ビックカメラ AKIBA,株式会社ビックカメラ,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=426&event_id=563,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2421,CES,2021/4/30,ケーズデンキ 前橋川曲店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=614&event_id=751,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
2431,CES,2021/4/30,ジョーシン 東員イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=295&event_id=432,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2441,CES,2021/4/30,ジョーシン 和歌山北店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=294&event_id=431,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2461,CES,2021/4/30,ジョーシン 中山寺店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=293&event_id=430,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2471,CES,2021/4/30,ジョーシン 上越店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=292&event_id=429,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2481,CES,2021/4/30,ケーズデンキ アリオ鳳店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=613&event_id=750,2021/6/18,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
2491,CES,2021/4/30,ケーズデンキ 昭島店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=612&event_id=749,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
2501,CES,2021/4/30,ケーズデンキ 仙台太白店,株式会社ケーズホールディングス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=611&event_id=748,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2511,CES,2021/4/30,ケーズデンキ HAT神戸店,株式会社ケーズホールディングス,非公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=610&event_id=747,2021/4/30,,,"2021年4月30日～取り扱い開始
ご来店の上ショップスタッフにお申し出ください"
2521,CES,2021/4/30,ケーズデンキ 奥州水沢店,株式会社ケーズホールディングス,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=609&event_id=746,2021/4/23,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2531,PS,2021/4/30,楽天モバイル くずはモール店,コネクシオ株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=208&event_id=309,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2541,CES,2021/4/30,ジョーシン 相模原小山店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=291&event_id=428,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2551,PS,2021/4/30,楽天モバイル イオンモール岡山店,コネクシオ株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=206&event_id=305,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2591,PS,2021/4/30,楽天モバイル 自由が丘店,株式会社プラザクリエイト,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=207&event_id=307,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2611,CES,2021/4/30,エディオン 豊川店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=519&event_id=656,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2621,CES,2021/4/30,エディオン JR尼崎店,株式会社エディオン,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=518&event_id=655,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2651,PS,2021/4/30,楽天モバイル 西武東戸塚店,コネクシオ株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=199&event_id=291,4/23 PM9:00,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
2661,CES,2021/4/30,ジョーシン 神戸南イオンモール店,上新電機株式会社,公開,https://reserve.mobile.rakuten.net/reservations/about?label_id=290&event_id=427,2021/6/18,予約注文をしてショップ（店舗）で 購入する,2021年4月30日,
