service_provider,service_name,transmission_data,usage_purpose,destination_purpose,privacy_policy_link,opt_out_link
楽天グループ株式会社,,サイト閲覧履歴,計測,訪問者に関する情報を収集・分析,,
楽天グループ株式会社,,ユーザー情報,サービスの提供/広告ターゲティング,訪問者に関する情報を収集・分析,https://reward.rakuten.co.jp/privacy/,
グーグル合同会社,,"・アプリ インスタンス ID
・広告 ID
・匿名化された IP アドレス
・アプリ内購入とサブスクリプション        
・アプリのライフサイクル イベント
・User-ID",マーケティング・調査,訪問者に関する情報を収集・分析,https://policies.google.com/privacy?hl=ja,
グーグル合同会社,,"・ユーザー数とセッション数
・セッション継続時間
・オペレーティング システム
・端末の機種
・地域
・初回起動
・アプリの起動
・アプリの更新",マーケティング・調査,訪問者に関する情報を収集・分析,https://policies.google.com/privacy?hl=ja,
楽天グループ株式会社,,プッシュペイロード,広告,プッシュ配信の最適化・ビジネス分析,,
楽天シンフォニー株式会社,,ネットワークKPI/ユーザーフィードバック,ネットワーク計画、最適化、トラブルシューティング,訪問者に関する情報を収集・分析,https://netvelocity.net/NVApp/PrivacyPolicy/sympulseapp.html,
楽天グループ株式会社,,ユーザー情報、トラッキングパラメータ,フラウド防止,訪問者に関する情報を収集・分析,https://privacy.rakuten.co.jp/,
