code,name
001902820,清田郵便局
001902840,夕張本町郵便局
001902850,夕張南清水沢郵便局
001902860,登別富士郵便局
001902870,小樽望洋台郵便局
001902880,余市駅前郵便局
001902890,室蘭中島郵便局
001902900,室蘭輪西南郵便局
001902910,浦河堺町郵便局
001902940,江別西郵便局
001902950,札幌菊水三条郵便局
001902960,札幌南二十一条郵便局
001902980,伊達駅前郵便局
001902990,勇払郵便局
001903010,小樽産業会館内郵便局
001903020,倶知安北郵便局
001903030,様似本町郵便局
001903040,北海道庁内郵便局
001903050,札幌南九条郵便局
001903070,琴似駅前郵便局
001903080,東室蘭郵便局
001903100,伊達末永郵便局
001903120,苫小牧三光郵便局
001903140,南京極郵便局
001903150,清畠郵便局
001903170,遠幌郵便局
001903180,札幌北二十三条郵便局
001903190,苫小牧弥生郵便局
001903200,美園郵便局
001903220,札幌南二十七条郵便局
001903230,千歳駅前郵便局
001903240,小樽最上郵便局
001903250,札幌中の島郵便局
001903260,白石本郷郵便局
001903270,北海道神宮前郵便局
001903280,札幌平岸三条郵便局
001903290,小樽桜町郵便局
001903300,室蘭港北郵便局
001903310,苫小牧緑町郵便局
001903320,札幌美香保郵便局
001903330,札幌南十四条西郵便局
001903340,札幌西町北郵便局
001903350,札幌二十四軒南郵便局
001903360,札幌北二十九条郵便局
001903370,豊平平岸郵便局
001903380,札幌南三十四条郵便局
001903390,札幌山の手郵便局
001903400,東札幌郵便局
001903410,札幌中央市場前郵便局
001903420,白石本通郵便局
001903430,月寒郵便局
001903440,恵庭有明郵便局
001903450,室蘭中島南郵便局
001903460,真駒内上町郵便局
001903470,札幌栄町西郵便局
001903480,幌別鉄南郵便局
001903490,室蘭高砂郵便局
001903500,札幌八軒郵便局
001903510,白石栄通西郵便局
001903520,札幌北二十四条郵便局
001903530,札幌川沿八条郵便局
001903540,苫小牧花園郵便局
001903550,厚別ひばりが丘郵便局
001903560,千歳末広郵便局
001903570,札幌澄川郵便局
001903580,札幌北二十六条郵便局
001903590,白石北郷郵便局
001903600,札幌発寒五条郵便局
001903610,札幌双子山郵便局
001903620,札幌大通郵便局
001903630,室蘭工業大学前郵便局
001903640,苫小牧本町郵便局
001903650,千歳北栄郵便局
001903660,札幌北二十条東郵便局
001903670,札幌菊水上町郵便局
001903680,白石南郷郵便局
001903690,水車町郵便局
