device,oem
AQUOS sense3 plus,SHARP
AQUOS sense4 plus,SHARP
Galaxy A7,Samsung
Galaxy note10+,Samsung
Galaxy S10,Samsung
HUAWEI nova 5T,HUAWEI
HUAWEI P30 lite,HUAWEI
OPPO A5 2020,OPPO
OPPO Reno A 128GB,OPPO
OPPO Reno3 A,OPPO
Rakuten Hand,楽天モバイル
Rakuten Mini,楽天モバイル
Rakuten WiFi Pocket,楽天モバイル
Xperia Ace,Sony
