update,area1,area2,day,spot,ruby,atr,
,東海,愛知県,,名古屋市営地下鉄鶴舞線 浅間町駅～丸の内駅間,なごやしえいちかてつつるまいせん あさまちょうえき～まるのうちえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄鶴舞線 大須観音駅,なごやしえいちかてつつるまいせん おおすかんのんえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄鶴舞線 大須観音駅～上前津駅間,なごやしえいちかてつつるまいせん おおすかんのんえき～かみまえづえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄鶴舞線 伏見駅,なごやしえいちかてつつるまいせん ふしみえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄鶴舞線 伏見駅～大須観音駅間,なごやしえいちかてつつるまいせん ふしみえき～おおすかんのんえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 一社駅,なごやしえいちかてつひがしやません いっしゃえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 一社駅～上社駅間,なごやしえいちかてつひがしやません いっしゃえき～かみやしろえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 栄駅,なごやしえいちかてつひがしやません さかええき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 栄駅～新栄町駅間,なごやしえいちかてつひがしやません さかええき～しんさかえまちえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 覚王山駅,なごやしえいちかてつひがしやません かくおうざんえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 覚王山駅～本山駅間,なごやしえいちかてつひがしやません かくおうざんえき～もとやまえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 亀島駅,なごやしえいちかてつひがしやません かめじまえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 亀島駅～名古屋駅間,なごやしえいちかてつひがしやません かめしまえき～なごやえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 今池駅,なごやしえいちかてつひがしやません いまいけえき,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 今池駅～池下駅間,なごやしえいちかてつひがしやません いまいけえき～いけしたえきかん,鉄道,
,東海,愛知県,,名古屋市営地下鉄東山線 新栄町駅,なごやしえいちかてつひがしやません しんさかえまちえき,鉄道,
