update,manufacturer,Model ID,Oracle model id,WAREHOUSE_MODEL,Oracle WAREHOUSE_MODEL,device,memory,carrier,good_price,fair_price,poor_price
,Apple（iPad）,,99760000056121,iPad Pro 5 12.9 128GB - AU,IPAD PRO 5 12.9 128GB - AU,iPad Pro（第5世代） 12.9インチ,128GB,au," ¥37,800 "," ¥11,340 "," ¥3,780 "
,Apple（iPad）,,99760000056122,iPad Pro 5 12.9 128GB - DoCoMo,IPAD PRO 5 12.9 128GB - DOCOMO,iPad Pro（第5世代） 12.9インチ,128GB,docomo," ¥37,800 "," ¥11,340 "," ¥3,780 "
,Apple（iPad）,,99760000045586,iPad Pro 5 12.9 128GB - GENERIC,IPAD PRO 5 12.9 128GB - GENERIC,iPad Pro（第5世代） 12.9インチ,128GB,Generic," ¥37,800 "," ¥11,340 "," ¥3,780 "
,Apple（iPad）,,99760000056123,iPad Pro 5 12.9 128GB - Softbank,IPAD PRO 5 12.9 128GB - SOFTBANK,iPad Pro（第5世代） 12.9インチ,128GB,Softbank," ¥37,800 "," ¥11,340 "," ¥3,780 "
,Apple（iPad）,,99760000075566 ,iPad 10 256GB - AU,IPAD 10 10.9 256GB - AU,iPad（第10世代）10.9インチ,256GB,au," ¥28,800 "," ¥8,640 "," ¥2,880 "
,Apple（iPad）,,99760000075573 ,iPad 10 256GB - DOCOMO,IPAD 10 10.9 256GB - DOCOMO,iPad（第10世代）10.9インチ,256GB,docomo," ¥28,800 "," ¥8,640 "," ¥2,880 "
,Apple（iPad）,,99760000062194 ,iPad 10 256GB - GENERIC,IPAD 10 10.9 256GB - GENERIC,iPad（第10世代）10.9インチ,256GB,Generic," ¥28,800 "," ¥8,640 "," ¥2,880 "
,Apple（iPad）,,99760000075581 ,iPad 10 256GB - SOFTBANK,IPAD 10 10.9 256GB - SOFTBANK,iPad（第10世代）10.9インチ,256GB,Softbank," ¥28,800 "," ¥8,640 "," ¥2,880 "
,Apple（iPad）,,99760000075569 ,iPad 10 64GB - AU,IPAD 10 10.9 64GB - AU,iPad（第10世代）10.9インチ,64GB,au," ¥28,800 "," ¥8,640 "," ¥2,880 "
,Apple（iPad）,,99760000075577 ,iPad 10 64GB - DOCOMO,IPAD 10 10.9 64GB - DOCOMO,iPad（第10世代）10.9インチ,64GB,docomo," ¥28,800 "," ¥8,640 "," ¥2,880 "
