,ショップID,ショップ名,郵便番号,都道府県,市区町村,営業変更期間,営業
,3481,ジョーシン 亀岡店,621-0806,京都府,亀岡市,6/20～,10:00～19:30
,3501,エディオン イオンモール鈴鹿店,513-0834,三重県,鈴鹿市,5/12～,10:00～20:00
,3561,エディオン 西宮店,662-0842,兵庫県,西宮市,5/12～,10:00～19:00
,3571,ジョーシン 近江今津店,520-1621,滋賀県,高島市,5/11,臨時休業
,3581,エディオン 津山本店,708-0841,岡山県,津山市,5/17～,10:00～19:00
,3631,ビックカメラ 天神2号館,810-0001,福岡県,福岡市,6/21～,通常営業
,3671,コジマ×ビックカメラ 南砂町SUNAMO店,136-0075,東京都,江東区,5/12～,10:00～20:00
,3681,楽天モバイル イオン岡崎南店,444-0840,愛知県,岡崎市,5/12～,10:00～20:00
,3741,ジョーシン 和泉中央店,594-0041,大阪府,和泉市,5/12～,10:00～19:00
,3811,ジョーシン 木曽川イオンモール店,493-0001,愛知県,一宮市,8/21～9/12,10:00～20:00
,3821,ジョーシン クロスモール豊川店,442-0823,愛知県,豊川市,6/21～,10:00～20:00
,3841,エディオン 御影店,658-0046,兵庫県,神戸市,5/12～,10:00～19:00
,3881,ジョーシン 新大阪店,532-0004,大阪府,大阪市,5/12～5/31,10:00～19:00
,3891,ジョーシン 東大阪店,578-0944,大阪府,東大阪市,5/12～,10:00～19:00
,3901,ジョーシン 東香里店,573-0073,大阪府,枚方市,5/12～,10:00～19:00
,3921,ビックカメラ JR京都駅店,600-8216,京都府,京都市,5/12～,10:00～19:00
,3941,エディオン 廿日市店,738-0024,広島県,廿日市,6/1～6/20,10:00～17:30
,4011,ケーズデンキ 多摩ニュータウン店,192-0363,東京都,八王子市,5/11～5/31,10:00～19:00
,4021,ケーズデンキ 三田ウッディタウン店,669-1321,兵庫県,三田市,6/1～,10:00～19:00
,4061,エディオン イオンタウン刈谷店,448-0007,愛知県,刈谷市,9/1～,10:00～19:00
,4071,エディオン 高槻宮田店,569-1142,大阪府,高槻市,6/18～,通常営業
,4081,ジョーシン 外環柏原店,582-0001,大阪府,柏原市,5/12～,通常営業
,4091,ジョーシン 名谷ダイエー店,654-0154,兵庫県,神戸市,6/1～,通常営業
,4101,ジョーシン 三国ヶ丘店,591-8031,大阪府,堺市,5/12～5/31,10:00～19:00
