date-time,server name,server id,latency,jitter,packet loss,download(byte),upload(byte),download bytes,upload bytes,share url
2021-03-14 06:01:26,fdcservers.net - Tokyo,28910,20.762,0.594,N/A,84341478,21102421,1166212500,295894218,https://www.speedtest.net/result/c/0af9cb0a-3d97-4567-8869-c274fea7f0a3
2021-03-14 14:01:24,fdcservers.net - Tokyo,28910,21.561,0.433,N/A,76261514,19085117,1068212296,270812138,https://www.speedtest.net/result/c/abbfe67d-d975-42da-b15d-2e2f2bb2940d
2021-03-14 22:01:08,fdcservers.net - Tokyo,28910,20.469,0.312,N/A,83117029,13401643,1089353364,160313949,https://www.speedtest.net/result/c/bc97b58e-a33e-48dd-82a2-796d67da431f
2021-03-15 06:01:24,fdcservers.net - Tokyo,28910,21.103,0.213,N/A,76691146,15056569,711232095,218252410,https://www.speedtest.net/result/c/c2682c8c-5439-4598-b617-1204734129b4
2021-03-15 14:01:34,fdcservers.net - Tokyo,28910,21.17,0.214,N/A,72016927,23007300,1030599228,308522750,https://www.speedtest.net/result/c/713e0a77-c97b-4e74-b74e-e32438436d52
2021-03-15 22:01:18,BudgetVM - Tokyo,38241,22.035,0.378,0,60989409,22802349,566144208,300970185,https://www.speedtest.net/result/c/65a97a0b-21e9-4338-9b7d-89f8eeeb800d
2021-03-16 06:01:17,fdcservers.net - Tokyo,28910,20.763,0.306,N/A,88725783,15670355,1229425220,133696615,https://www.speedtest.net/result/c/ca06657e-3ead-470d-b974-c4a73443e99e
2021-03-16 14:01:27,fdcservers.net - Tokyo,28910,21.078,0.725,N/A,74212232,21832029,1055200834,307055756,https://www.speedtest.net/result/c/805736d0-8f6b-44ff-88db-f4b17c19d501
2021-03-16 22:01:31,fdcservers.net - Tokyo,28910,19.985,0.445,N/A,73592082,23633328,1005032128,339327718,https://www.speedtest.net/result/c/8d1685ca-4073-4b2c-a9b9-f4143a10dd09
2021-03-17 06:01:14,fdcservers.net - Tokyo,28910,22.638,0.176,N/A,84119750,18088765,821804604,142824718,https://www.speedtest.net/result/c/086bbde4-9608-44b7-a79a-e252eb30da41
2021-03-17 14:01:23,fdcservers.net - Tokyo,28910,20.994,0.226,N/A,75036128,15992271,1036226796,178119015,https://www.speedtest.net/result/c/3a0edae0-4078-4724-8067-2d9abd6787d5
